"","long","lat","el","dc","air_temp","smb","rating"
"66589179",39.703333,-77.316944,3792,815.50548570795,235.780640659891,32,1
"220167625",106.84,-78.45,3487,1212.75661265117,235.478196229163,19,1
"220167625.1",106.84,-78.45,3487,1212.75661265117,235.478196229163,20,1
"220167625.2",106.84,-78.45,3487,1212.75661265117,235.478196229163,23,1
"220167625.3",106.84,-78.45,3487,1212.75661265117,235.478196229163,21,1
"220167625.4",106.84,-78.45,3487,1212.75661265117,235.478196229163,23,1
"220167625.5",106.84,-78.45,3487,1212.75661265117,235.478196229163,20,1
"220167625.6",106.84,-78.45,3487,1212.75661265117,235.478196229163,21,1
"220167625.7",106.84,-78.45,3487,1212.75661265117,235.478196229163,21,1
"220167625.8",106.84,-78.45,3487,1212.75661265117,235.478196229163,23,1
"324515568",155.97,-74.03,2083,227.565577995383,248.826934375496,112,1
"322546395",155.31,-74.45,2051,223.035865112226,250.770669962799,251,1
"324530709",155.96,-74.025333,2088,228.110568170297,248.810579422573,98,1
"322788258",157.502166,-74.644833,1807,154.683325204326,253.427795294787,55,1
"318877370",151.2695,-74.8045,2338,324.308295505003,246.981970965624,8.5,1
"23310158",2.053833,-75.1,2948,389.795456039925,246.597348429646,39,1
"287455900",129.808833,-75.4475,3046,866.827386209215,239.924718583727,39,1
"311986008",145.857166,-75.536,2481,451.865054880891,243.688055735208,47,1
"297941156",135.8315,-75.598,2814,708.641876762445,241.639170890157,29,1
"305420745",140.630666,-75.622166,2631.5,587.098029151277,242.605718035037,30,1
"338926305",158.866666,-70.683333,1884,89.6869326532043,261.364391319583,252,1
"338926305.1",158.866666,-70.683333,1884,89.6869326532043,261.364391319583,234,1
"334293398",158.533333,-71.883333,2202.5,201.159868085667,253.716048030438,135,1
"334293398.1",158.533333,-71.883333,2202.5,201.159868085667,253.716048030438,129,1
"332442652",158.75,-72.366666,2238,245.485240904193,253.617171248309,101,1
"330957886",159.083333,-72.766666,2331,236.002922460245,251.430208208665,74,1
"330957886.1",159.083333,-72.766666,2331,236.002922460245,251.430208208665,83.6,1
"330824487",159.1,-72.8,2331,233.090640496036,251.122835489541,81,1
"330824487.1",159.1,-72.8,2331,233.090640496036,251.122835489541,86.6,1
"327821198",157.666666,-73.383333,2231.5,236.389276400846,249.048341484767,98,1
"324500377",155.966666,-74.033333,2080,227.441806112116,248.835647063185,98.7,1
"324500377.1",155.966666,-74.033333,2080,227.441806112116,248.835647063185,112,1
"324500377.2",155.966666,-74.033333,2080,227.441806112116,248.835647063185,98,1
"324386344",156,-74.066666,2059,224.533852439907,248.956266228059,137,1
"327821198.1",157.666666,-73.383333,2231.5,236.389276400846,249.048341484767,101,1
"324530709.1",155.9595,-74.025333,2088,228.123210273334,248.81042549049,112,1
"324424368",156.010666,-74.0585,2062,224.764615800087,248.930374676685,137,1
"322860673",157.38,-74.6135,1810,159.315775532905,253.282865476234,137,1
"322788258.1",157.502166,-74.644833,1807,154.683325204326,253.427795294787,54,1
"322788258.2",157.502166,-74.644833,1807,154.683325204326,253.427795294787,60,1
"318803285",151.0985,-74.800166,2329,329.261944008325,246.877839717264,44,1
